"","data","hour","min","Tair","RH","wind","winddir","rain","SunJ","season"
"523656",2017-12-11,23,45,15.7,77,7.5,138,0,1064,1
"523655",2017-12-11,23,30,15.7,77,7.4,139,0,1,1
"523651",2017-12-11,22,30,15.7,76,7.4,142,0,1,1
"523643",2017-12-11,20,30,15.4,78,7.4,139,0,1064,1
"523652",2017-12-11,22,45,15.6,76,7.2,139,0,1,1
"523660",2017-12-12,0,45,15.9,77,6.9,137,0,1,1
"523657",2017-12-12,0,0,15.8,77,6.9,138,0,1,1
"523644",2017-12-11,20,45,15.3,77,6.9,141,0,1,1
"523653",2017-12-11,23,0,15.6,77,6.7,141,0,1,1
"523645",2017-12-11,21,0,15.3,77,6.7,141,0,1,1
"523659",2017-12-12,0,30,15.8,77,6.6,140,0,1,1
"523658",2017-12-12,0,15,15.8,77,6.6,139,0,1,1
"523648",2017-12-11,21,45,15.5,77,6.6,143,0,1,1
"523640",2017-12-11,19,45,15.3,79,6.6,140,0,1064,1
"523538",2017-12-10,18,15,9.9,89,6.6,137,0,1,1
"523536",2017-12-10,17,45,9.5,90,6.6,139,0,1,1
"523626",2017-12-11,16,15,15.6,74,6.5,136,0,509,1
"523535",2017-12-10,17,30,9.2,91,6.5,139,0,1,1
"523534",2017-12-10,17,15,8.9,91,6.5,139,0,1,1
"523647",2017-12-11,21,30,15.4,77,6.4,145,0,1,1
"523650",2017-12-11,22,15,15.6,76,6.3,147,0,1,1
"523639",2017-12-11,19,30,15.3,79,6.3,136,0,1064,1
"523537",2017-12-10,18,0,9.7,89,6.3,139,0,1,1
"523654",2017-12-11,23,15,15.6,77,6.2,143,0,1,1
"523642",2017-12-11,20,15,15.3,78,6.2,139,0,1064,1
"523661",2017-12-12,1,0,15.8,77,6.1,139,0,1,1
"523633",2017-12-11,18,0,15.6,77,6.1,139,0,1064,1
"523533",2017-12-10,17,0,8.6,91,6.1,138,0,1,1
"521025",2017-11-14,14,0,11.2,61,6.1,15,0,450,4
"523623",2017-12-11,15,30,15.7,75,6,134,0,232,1
"526349",2018-01-09,1,0,17,59,5.9,134,0,1,1
"523649",2017-12-11,22,0,15.5,77,5.9,148,0,1,1
"523638",2017-12-11,19,15,15.4,79,5.9,136,0,1064,1
"525131",2017-12-27,8,30,11.3,84,5.8,136,0,96,1
"523641",2017-12-11,20,0,15.2,79,5.8,139,0,1064,1
"523635",2017-12-11,18,30,15.4,78,5.8,136,0,1064,1
"523621",2017-12-11,15,0,15.8,75,5.8,138,0,376,1
"523611",2017-12-11,12,30,15.3,78,5.8,145,0,909,1
"523545",2017-12-10,20,0,11.1,91,5.8,139,0,1,1
"523539",2017-12-10,18,30,10,89,5.8,138,0,1,1
"523526",2017-12-10,15,15,7.3,80,5.8,136,0,387,1
"525145",2017-12-27,12,0,11.5,85,5.7,134,0,643,1
"523637",2017-12-11,19,0,15.3,79,5.7,137,0,1064,1
"523622",2017-12-11,15,15,15.8,75,5.7,137,0,288,1
