"","usaf","year","month","day","hour","minute","winddir","wind","ceil_hgt","temp","dew_point","atmos_pres","rh","data","season"
"162616","161700",2015,3,5,7,0,40,21.1,1350,7.6,-2,1011.2,50.6,2015-03-05 12:00:00,2
"162623","161700",2015,3,5,10,0,40,14.9,3000,8.4,-3.3,1014.1,43.5,2015-03-05 12:00:00,2
"18715","161700",2007,12,17,10,0,40,14.4,22000,6.6,-2.4,1023.7,52.6,2007-12-17 12:00:00,1
"162609","161700",2015,3,5,4,0,20,13.9,2400,5.6,1.7,1011.4,76,2015-03-05 12:00:00,2
"101287","161700",2012,2,10,4,0,50,13.4,2400,1.3,-8.9,1017,46.6,2012-02-10 12:00:00,1
"18708","161700",2007,12,17,7,0,40,13.4,22000,5.4,-1.9,1023.1,59.3,2007-12-17 12:00:00,1
"101320","161700",2012,2,10,19,0,20,12.9,2100,-1.1,-9.1,1014.1,54.6,2012-02-10 12:00:00,1
"48484","161700",2009,6,21,4,0,40,12.9,3600,18.3,10.3,1008,59.6,2009-06-21 12:00:00,3
"201505","161700",2017,2,9,10,0,30,12.4,4500,8,0.6,1018.1,59.6,2017-02-09 12:00:00,1
"183704","161700",2016,3,22,22,0,50,12.4,6600,13.9,4.8,997.3,54.2,2016-03-22 12:00:00,2
"47142","161700",2009,5,27,19,0,360,12.3,900,21.1,6.6,1016.8,39,2009-05-27 12:00:00,2
"38922","161700",2008,12,26,13,0,40,12.3,22000,6.4,-1.9,1025.2,55.4,2008-12-26 12:00:00,1
"136390","161700",2013,11,11,13,0,20,11.8,2400,13.1,7.2,1007.5,67.4,2013-11-11 12:00:00,4
"100794","161700",2012,2,1,7,0,30,11.8,750,1.1,-4.3,1007.6,67.2,2012-02-01 12:00:00,1
"80367","161700",2011,1,28,10,0,40,11.8,9000,8.6,1.1,1011.2,59.3,2011-01-28 12:00:00,1
"62699","161700",2010,3,9,22,0,40,11.8,750,3.4,-0.4,1004.1,76.2,2010-03-09 12:00:00,2
"18729","161700",2007,12,17,16,0,30,11.8,3600,5.8,-1.6,1024.7,59,2007-12-17 12:00:00,1
"17047","161700",2007,11,16,4,0,50,11.8,1500,9.1,-4,1012.3,39.4,2007-11-16 12:00:00,4
"3744","161700",2007,3,10,13,0,60,11.8,22000,16,-0.5,1021.5,32.5,2007-03-10 12:00:00,2
"62712","161700",2010,3,10,4,0,40,11.3,900,3.5,-1,1002.5,72.4,2010-03-10 12:00:00,2
"38929","161700",2008,12,26,16,0,30,11.3,22000,5.4,-2.3,1026.1,57.6,2008-12-26 12:00:00,1
"5116","161700",2007,4,4,16,0,50,11.3,1050,14.9,5.9,1004,54.9,2007-04-04 12:00:00,2
"201519","161700",2017,2,9,16,0,30,10.8,2700,8,0.3,1017.3,58.3,2017-02-09 12:00:00,1
"101314","161700",2012,2,10,16,0,30,10.8,3600,-1.1,-8.3,1015.5,58.1,2012-02-10 12:00:00,1
"101293","161700",2012,2,10,7,0,40,10.8,2400,-0.3,-7.5,1017.8,58.3,2012-02-10 12:00:00,1
"62577","161700",2010,3,7,16,0,50,10.8,22000,7.5,-1.2,1016.4,54.1,2010-03-07 12:00:00,2
"43439","161700",2009,3,20,13,0,50,10.8,9000,9.1,-5.9,1017.5,34.1,2009-03-20 12:00:00,2
"3800","161700",2007,3,11,13,0,50,10.8,1050,12.8,1.6,1027,46.5,2007-03-11 12:00:00,2
