"","data","hour","min","Tair","RH","wind","winddir","rain","SunJ","season"
"776661",2017-04-18,14,0,13.7,56,7.2,25,0,272700,2
"777611",2017-04-28,11,30,14.7,49,7,242,0,954900,2
"776660",2017-04-18,13,45,14.3,56,6.9,29,0,334800,2
"776659",2017-04-18,13,30,14.7,53,6.7,15,0,212400,2
"777620",2017-04-28,13,45,15.7,40,6.4,220,0,953100,2
"777609",2017-04-28,11,0,14.5,51,6.4,235,0,1028700,2
"777606",2017-04-28,10,15,14,52,6.4,225,0,473400,2
"777608",2017-04-28,10,45,14.5,54,6.3,244,0,978300,2
"777615",2017-04-28,12,30,15.3,44,6.2,245,0,1047600,2
"777613",2017-04-28,12,0,15.2,45,6.1,245,0,1044900,2
"777618",2017-04-28,13,15,15.5,43,5.9,231,0,921600,2
"776662",2017-04-18,14,15,12.8,59,5.9,24,0,124200,2
"777614",2017-04-28,12,15,15.2,45,5.7,247,0,1005300,2
"777052",2017-04-22,15,45,17.2,54,5.7,241,0,624600,2
"777619",2017-04-28,13,30,15.9,42,5.6,230,0,964800,2
"777612",2017-04-28,11,45,15.1,48,5.6,238,0,1037700,2
"777054",2017-04-22,16,15,16.8,56,5.5,234,0,513900,2
"777433",2017-04-26,15,0,19.6,59,5.4,183,0,171000,2
"779069",2017-05-13,16,0,22.4,53,5.3,244,0,617400,2
"779066",2017-05-13,15,15,22.5,52,5.3,225,0,762300,2
"777621",2017-04-28,14,0,15.9,41,5.3,228,0,792900,2
"777616",2017-04-28,12,45,15.8,43,5.3,247,0,1048500,2
"777610",2017-04-28,11,15,15.1,52,5.3,238,0,1032300,2
"777430",2017-04-26,14,15,19.9,58,5.3,194,0,377100,2
"777422",2017-04-26,12,15,20.1,57,5.3,184,0,522900,2
"777049",2017-04-22,15,0,17.4,53,5.3,239,0,744300,2
"777048",2017-04-22,14,45,17.4,52,5.3,230,0,794700,2
"777044",2017-04-22,13,45,17.5,50,5.3,241,0,835200,2
"779062",2017-05-13,14,15,23,51,5.2,239,0,910800,2
"777624",2017-04-28,14,45,16,40,5.2,222,0,879300,2
"777617",2017-04-28,13,0,15.9,42,5.2,233,0,966600,2
"777428",2017-04-26,13,45,19.9,59,5.2,180,0,488700,2
"777046",2017-04-22,14,15,17.6,51,5.2,252,0,877500,2
"777425",2017-04-26,13,0,19.8,56,5.1,188,0,207000,2
"777423",2017-04-26,12,30,19.9,57,5.1,195,0,459000,2
"777045",2017-04-22,14,0,17.5,51,5.1,239,0,907200,2
"777040",2017-04-22,12,45,17.6,51,5.1,230,0,998100,2
"777607",2017-04-28,10,30,14.4,54,5,230,0,755100,2
"777605",2017-04-28,10,0,14.3,54,5,234,0,616500,2
"777432",2017-04-26,14,45,19.8,59,5,194,0,142200,2
"776664",2017-04-18,14,45,11.1,62,5,29,0,69300,2
"779068",2017-05-13,15,45,22.5,54,4.9,235,0,670500,2
"779065",2017-05-13,15,0,22.7,52,4.9,226,0,801000,2
"777427",2017-04-26,13,30,19.6,61,4.9,183,0,517500,2
"777050",2017-04-22,15,15,17.4,53,4.9,242,0,709200,2
"777043",2017-04-22,13,30,17.7,51,4.9,234,0,903600,2
"779063",2017-05-13,14,30,23.1,51,4.8,246,0,871200,2
"777431",2017-04-26,14,30,20.2,58,4.8,189,0,319500,2
"777429",2017-04-26,14,0,19.8,59,4.8,192,0,343800,2
"777056",2017-04-22,16,45,16.7,56,4.8,241,0,394200,2
"777041",2017-04-22,13,0,17.7,51,4.8,236,0,937800,2
"776665",2017-04-18,15,0,10.5,66,4.8,18,0,102600,2
"776663",2017-04-18,14,30,11.9,60,4.8,22,0,49500,2
"781274",2017-06-05,15,15,25.2,54,4.7,243,0,71100,3
"779071",2017-05-13,16,30,22.4,53,4.7,241,0,513000,2
"779067",2017-05-13,15,30,22.7,53,4.7,232,0,719100,2
"777622",2017-04-28,14,15,16,41,4.7,210,0,936000,2
"777604",2017-04-28,9,45,14.1,56,4.7,215,0,820800,2
"777434",2017-04-26,15,15,19.5,60,4.7,176,0,126900,2
"777421",2017-04-26,12,0,20.3,59,4.7,191,0,892800,2
"777420",2017-04-26,11,45,19.4,61,4.7,178,0,441900,2
"777419",2017-04-26,11,30,19.1,61,4.7,180,0,316800,2
"779634",2017-05-19,13,15,24.9,39,4.6,236,0,868500,2
"779077",2017-05-13,18,0,21.5,58,4.6,227,0,58500,2
"779072",2017-05-13,16,45,22.4,54,4.6,238,0,457200,2
"777623",2017-04-28,14,30,15.9,40,4.6,225,0,843300,2
"777435",2017-04-26,15,30,19.3,61,4.6,196,0,89100,2
"777053",2017-04-22,16,0,17.2,54,4.6,241,0,569700,2
"777051",2017-04-22,15,30,17.5,53,4.6,221,0,667800,2
"779337",2017-05-16,11,0,24.3,44,4.5,25,0,991800,2
"777424",2017-04-26,12,45,20.2,57,4.5,188,0,505800,2
"779635",2017-05-19,13,30,25.3,36,4.4,231,0,805500,2
"779338",2017-05-16,11,15,24.5,43,4.4,22,0,1043100,2
"779064",2017-05-13,14,45,23.2,51,4.4,241,0,834300,2
"777418",2017-04-26,11,15,19.1,62,4.4,185,0,382500,2
"776666",2017-04-18,15,15,10,70,4.4,16,0,56700,2
"779633",2017-05-19,13,0,24.8,42,4.3,235,0,653400,2
"779347",2017-05-16,13,30,25.6,39,4.3,24,0,861300,2
"779250",2017-05-15,13,15,25,43,4.3,10,0,1023300,2
"778014",2017-05-02,16,15,18.3,43,4.3,261,0,441900,2
"778011",2017-05-02,15,30,18.8,39,4.3,253,0,721800,2
"777042",2017-04-22,13,15,18,51,4.3,248,0,978300,2
"779252",2017-05-15,13,45,25,42,4.2,11,0,971100,2
"779070",2017-05-13,16,15,22.5,54,4.2,256,0,556200,2
"779060",2017-05-13,13,45,23,50,4.2,258,0,832500,2
"777426",2017-04-26,13,15,19.1,61,4.2,180,0,327600,2
"777047",2017-04-22,14,30,17.7,52,4.2,241,0,788400,2
"782517",2017-06-18,14,0,29.1,27,4.1,14,0,976500,3
"779445",2017-05-17,14,0,27.2,35,4.1,20,0,857700,2
"779343",2017-05-16,12,30,25.6,39,4.1,30,0,1082700,2
"779076",2017-05-13,17,45,21.8,57,4.1,225,0,201600,2
"779073",2017-05-13,17,0,22.3,54,4.1,238,0,402300,2
"778008",2017-05-02,14,45,18.9,42,4.1,271,0,774000,2
"778007",2017-05-02,14,30,19.1,42,4.1,265,0,845100,2
"777625",2017-04-28,15,0,16.2,41,4.1,218,0,835200,2
"777445",2017-04-26,18,0,18.9,63,4.1,185,0,24300,2
"777057",2017-04-22,17,0,16.6,57,4.1,243,0,330300,2
"782719",2017-06-20,16,30,31.4,29,4,255,0,566100,3
"782509",2017-06-18,12,0,28.4,28,4,6,0,1000800,3
"781275",2017-06-05,15,30,23.3,69,4,239,0,128700,3
"780994",2017-06-02,17,15,27.4,40,4,251,0,390600,3
"779348",2017-05-16,13,45,26,38,4,32,0,962100,2
"779061",2017-05-13,14,0,23.5,51,4,255,0,943200,2
"778675",2017-05-09,13,30,19,55,4,32,0,1057500,2
"778674",2017-05-09,13,15,19.2,56,4,35,0,1088100,2
"778015",2017-05-02,16,30,18.5,45,4,263,0,522000,2
"777897",2017-05-01,11,0,18.9,39,4,173,0,392400,2
"777626",2017-04-28,15,15,16.1,40,4,226,0,651600,2
"777436",2017-04-26,15,45,18.9,65,4,187,0,337500,2
"777417",2017-04-26,11,0,18.8,64,4,178,0,441900,2
"777063",2017-04-22,18,30,15.1,64,4,236,0,33300,2
"777055",2017-04-22,16,30,17,56,4,248,0,454500,2
"782717",2017-06-20,16,0,32,26,3.9,259,0,663300,3
"782531",2017-06-18,17,30,28.5,25,3.9,24,0,381600,3
"782514",2017-06-18,13,15,28.5,27,3.9,32,0,1046700,3
"782430",2017-06-17,16,15,33,33,3.9,15,0,604800,3
"781382",2017-06-06,18,15,24.4,50,3.9,241,0,65700,3
"781366",2017-06-06,14,15,23.1,61,3.9,249,0,187200,3
"781363",2017-06-06,13,30,23.8,60,3.9,251,0,107100,3
"780697",2017-05-30,15,0,29.3,35,3.9,249,0,794700,2
"780613",2017-05-29,18,0,28.1,40,3.9,249,0,153000,2
"780609",2017-05-29,17,0,29.4,36,3.9,245,0,434700,2
"779821",2017-05-21,12,0,25.1,31,3.9,7,0,1086300,2
"779440",2017-05-17,12,45,27.2,35,3.9,15,0,926100,2
"779430",2017-05-17,10,15,25.3,39,3.9,14,0,900900,2
"779339",2017-05-16,11,30,25,42,3.9,35,0,1058400,2
"779074",2017-05-13,17,15,22.1,55,3.9,227,0,335700,2
"779059",2017-05-13,13,30,23.5,50,3.9,244,0,1016100,2
"778673",2017-05-09,13,0,18.8,57,3.9,40,0,1137600,2
"778009",2017-05-02,15,0,19.1,40,3.9,256,0,860400,2
"777900",2017-05-01,11,45,18.9,42,3.9,170,0,126900,2
"777416",2017-04-26,10,45,18.4,65,3.9,172,0,245700,2
"777062",2017-04-22,18,15,15.4,63,3.9,238,0,46800,2
"777061",2017-04-22,18,0,15.6,63,3.9,235,0,61200,2
"777060",2017-04-22,17,45,16.1,61,3.9,234,0,83700,2
"777038",2017-04-22,12,15,17.5,51,3.9,253,0,702000,2
"782722",2017-06-20,17,15,30.8,32,3.8,261,0,414000,3
"782720",2017-06-20,16,45,31.2,31,3.8,260,0,519300,3
"781365",2017-06-06,14,0,23.5,64,3.8,252,0,174600,3
"781362",2017-06-06,13,15,24.3,59,3.8,257,0,330300,3
"781360",2017-06-06,12,45,24.4,59,3.8,241,0,385200,3
"781094",2017-06-03,18,15,27.8,35,3.8,243,0,64800,3
"780031",2017-05-23,16,30,26.9,36,3.8,250,0,518400,2
"779937",2017-05-22,17,0,26.5,40,3.8,251,0,366300,2
"779820",2017-05-21,11,45,25.1,31,3.8,352,0,1107900,2
"779439",2017-05-17,12,30,27.3,35,3.8,15,0,1058400,2
"779431",2017-05-17,10,30,25.5,39,3.8,20,0,930600,2
"779345",2017-05-16,13,0,25.6,39,3.8,31,0,882000,2
"779266",2017-05-15,17,15,24.6,46,3.8,16,0,414000,2
"779263",2017-05-15,16,30,25,41,3.8,357,0,366300,2
"779254",2017-05-15,14,15,25.2,40,3.8,355,0,887400,2
"778013",2017-05-02,16,0,18.9,41,3.8,281,0,590400,2
"778010",2017-05-02,15,15,19.3,37,3.8,261,0,800100,2
"777998",2017-05-02,12,15,18.8,45,3.8,258,0,1082700,2
"777921",2017-05-01,17,0,15.5,65,3.8,227,0,421200,2
"777444",2017-04-26,17,45,19.1,62,3.8,185,0,25200,2
"777069",2017-04-22,20,0,13.6,73,3.8,210,0,0,2
"777068",2017-04-22,19,45,13.8,72,3.8,221,0,0,2
"777059",2017-04-22,17,30,16,60,3.8,243,0,90000,2
"777035",2017-04-22,11,30,16.8,55,3.8,236,0,874800,2
"782816",2017-06-21,16,45,31.5,19,3.7,257,0,471600,3
"782718",2017-06-20,16,15,31.8,28,3.7,259,0,616500,3
"782530",2017-06-18,17,15,28.6,26,3.7,29,0,431100,3
"782515",2017-06-18,13,30,28.6,27,3.7,24,0,1026000,3
"782511",2017-06-18,12,30,28.9,28,3.7,28,0,1036800,3
"782425",2017-06-17,15,0,33,33,3.7,16,0,809100,3
"782421",2017-06-17,14,0,33.2,34,3.7,23,0,930600,3
"781371",2017-06-06,15,30,24.5,59,3.7,255,0,533700,3
"781367",2017-06-06,14,30,23.2,63,3.7,241,0,304200,3
"780995",2017-06-02,17,30,27.2,41,3.7,259,0,334800,3
"780707",2017-05-30,17,30,28.7,33,3.7,251,0,384300,2
"779936",2017-05-22,16,45,26.7,40,3.7,247,0,432000,2
"779815",2017-05-21,10,30,23.9,35,3.7,30,0,976500,2
"779437",2017-05-17,12,0,26.8,36,3.7,7,0,1042200,2
"779355",2017-05-16,15,30,26.2,36,3.7,33,0,719100,2
"779351",2017-05-16,14,30,26,39,3.7,20,0,778500,2
"779350",2017-05-16,14,15,25.9,39,3.7,28,0,858600,2
"779267",2017-05-15,17,30,24.2,46,3.7,33,0,335700,2
"779264",2017-05-15,16,45,24.7,42,3.7,8,0,369900,2
"779260",2017-05-15,15,45,25.9,39,3.7,15,0,756000,2
"779255",2017-05-15,14,30,25.3,41,3.7,8,0,879300,2
"779171",2017-05-14,17,30,21.4,59,3.7,252,0,182700,2
"778004",2017-05-02,13,45,19.1,45,3.7,273,0,920700,2
"777920",2017-05-01,16,45,15.3,70,3.7,222,0,359100,2
"777718",2017-04-29,14,15,18.3,43,3.7,91,0,953100,2
"777700",2017-04-29,9,45,15.1,55,3.7,29,0,806400,2
"777630",2017-04-28,16,15,15.5,49,3.7,267,0,547200,2
"777627",2017-04-28,15,30,15.5,41,3.7,219,0,319500,2
"777534",2017-04-27,16,15,19.4,66,3.7,212,0,156600,2
"777443",2017-04-26,17,30,19.2,63,3.7,191,0,27900,2
"777441",2017-04-26,17,0,19.4,63,3.7,188,0,91800,2
"777343",2017-04-25,16,30,20.6,48,3.7,182,0,264600,2
"777070",2017-04-22,20,15,13.4,75,3.7,205,0,0,2
"777034",2017-04-22,11,15,16.2,56,3.7,236,0,929700,2
"776963",2017-04-21,17,30,16.6,33,3.7,264,0,82800,2
"776658",2017-04-18,13,15,18.5,49,3.7,15,0,311400,2
"782819",2017-06-21,17,30,30.7,21,3.6,248,0,348300,3
"782721",2017-06-20,17,0,30.9,32,3.6,240,0,468000,3
"782341",2017-06-16,18,0,31.3,46,3.6,263,0,215100,3
"781958",2017-06-12,18,15,29.3,43,3.6,240,0,72900,3
"781957",2017-06-12,18,0,30,41,3.6,250,0,230400,3
"781378",2017-06-06,17,15,25,57,3.6,280,0,402300,3
"781277",2017-06-05,16,0,24.3,70,3.6,218,0,289800,3
"781093",2017-06-03,18,0,28.2,34,3.6,260,0,189900,3
"780611",2017-05-29,17,30,28.7,39,3.6,246,0,326700,2
"779824",2017-05-21,12,45,25.3,31,3.6,3,0,774000,2
"779727",2017-05-20,12,30,21.6,46,3.6,249,0,743400,2
"779631",2017-05-19,12,30,25.1,41,3.6,234,0,1003500,2
"779452",2017-05-17,15,45,27.5,34,3.6,31,0,670500,2
"779330",2017-05-16,9,15,23,49,3.6,31,0,775800,2
"779265",2017-05-15,17,0,24.2,44,3.6,28,0,137700,2
"779257",2017-05-15,15,0,25.6,39,3.6,15,0,825300,2
"779256",2017-05-15,14,45,25.4,40,3.6,360,0,860400,2
"779251",2017-05-15,13,30,24.9,42,3.6,2,0,998100,2
"779075",2017-05-13,17,30,22,57,3.6,250,0,238500,2
"779054",2017-05-13,12,15,22.7,52,3.6,259,0,940500,2
"779051",2017-05-13,11,30,22,57,3.6,257,0,1017900,2
"777912",2017-05-01,14,45,12.5,89,3.6,240,1,79200,2
"777702",2017-04-29,10,15,15.7,53,3.6,5,0,894600,2
"777442",2017-04-26,17,15,19.3,63,3.6,184,0,43200,2
"777440",2017-04-26,16,45,19.5,62,3.6,185,0,184500,2
"777344",2017-04-25,16,45,19.8,50,3.6,185,0,118800,2
"776766",2017-04-19,16,15,14.4,22,3.6,9,0,349200,2
"776764",2017-04-19,15,45,14.4,21,3.6,2,0,351000,2
"776762",2017-04-19,15,15,14.6,21,3.6,22,0,342000,2
"782810",2017-06-21,15,15,32.4,25,3.5,242,0,818100,3
"782716",2017-06-20,15,45,32.4,25,3.5,269,0,710100,3
"782711",2017-06-20,14,30,32.5,26,3.5,268,0,902700,3
"782710",2017-06-20,14,15,32.5,27,3.5,273,0,927000,3
"782543",2017-06-18,20,30,25.1,30,3.5,25,0,0,3
"782516",2017-06-18,13,45,28.9,27,3.5,22,0,1001700,3
"782423",2017-06-17,14,30,33.2,34,3.5,23,0,709200,3
"782335",2017-06-16,16,30,32.5,44,3.5,259,0,338400,3
"781537",2017-06-08,9,0,23,56,3.5,13,0,732600,3
"781534",2017-06-08,8,15,22.4,61,3.5,8,0,605700,3
"781377",2017-06-06,17,0,24.2,58,3.5,265,0,99900,3
"781370",2017-06-06,15,15,25,60,3.5,231,0,861300,3
"781364",2017-06-06,13,45,23.6,62,3.5,253,0,133200,3
"781165",2017-06-04,12,0,26.8,51,3.5,236,0,756000,3
"780993",2017-06-02,17,0,27.9,38,3.5,262,0,442800,3
"780709",2017-05-30,18,0,28,35,3.5,243,0,230400,2
"780702",2017-05-30,16,15,29.3,34,3.5,264,0,564300,2
"780608",2017-05-29,16,45,30.4,31,3.5,245,0,480600,2
"780219",2017-05-25,15,30,27.7,34,3.5,26,0,720000,2
"780216",2017-05-25,14,45,27.3,32,3.5,20,0,697500,2
"780034",2017-05-23,17,15,26.2,37,3.5,242,0,351900,2
"779935",2017-05-22,16,30,27.2,39,3.5,248,0,458100,2
"779845",2017-05-21,18,0,25.3,34,3.5,2,0,56700,2
"779829",2017-05-21,14,0,26,29,3.5,43,0,944100,2
"779733",2017-05-20,14,0,22.2,41,3.5,229,0,977400,2
"779638",2017-05-19,14,15,23.5,52,3.5,259,0,472500,2
"779632",2017-05-19,12,45,25.2,42,3.5,244,0,903600,2
"779463",2017-05-17,18,30,26,36,3.5,30,0,39600,2
"779453",2017-05-17,16,0,27.5,34,3.5,28,0,622800,2
"779451",2017-05-17,15,30,27.4,34,3.5,24,0,713700,2
