"","data","hour","min","Tair","RH","wind","winddir","rain","SunJ","season"
"776529",2017-04-18,14,30,10.1,70,11.9,7,0,90000,2
"776527",2017-04-18,14,0,12.1,61,11.4,8,0,175500,2
"776532",2017-04-18,15,15,8.6,77,11.1,16,0.4,52200,2
"776528",2017-04-18,14,15,11.2,65,11,13,0,157500,2
"776526",2017-04-18,13,45,13.4,59,10.8,11,0,390600,2
"776531",2017-04-18,15,0,9,76,10.3,7,0,65700,2
"776530",2017-04-18,14,45,9.4,74,9.8,11,0,41400,2
"776533",2017-04-18,15,30,8.1,82,9.6,4,0.6,31500,2
"776525",2017-04-18,13,30,14.4,58,9.6,14,0,561600,2
"776524",2017-04-18,13,15,14.8,56,7.7,10,0,354600,2
"776534",2017-04-18,15,45,7.9,84,7.2,5,1.4,31500,2
"776535",2017-04-18,16,0,8.1,81,7.1,21,0.6,27000,2
"777472",2017-04-28,10,15,14.8,56,6.5,208,0,882000,2
"777484",2017-04-28,13,15,15.6,45,6.4,231,0,971100,2
"777473",2017-04-28,10,30,14.9,58,6.3,217,0,944100,2
"776552",2017-04-18,20,15,8.1,65,6.1,27,0,1800,2
"777482",2017-04-28,12,45,15.3,45,6,248,0,979200,2
"777485",2017-04-28,13,30,15.8,45,5.8,235,0,947700,2
"777292",2017-04-26,13,15,19.3,59,5.8,187,0,322200,2
"777483",2017-04-28,13,0,15.7,46,5.7,235,0,977400,2
"777289",2017-04-26,12,30,19,60,5.7,177,0,166500,2
"777288",2017-04-26,12,15,19.2,59,5.7,182,0,139500,2
"776912",2017-04-22,14,15,17.3,54,5.7,210,0,559800,2
"776551",2017-04-18,20,0,8.8,66,5.7,12,0,900,2
"778541",2017-05-09,13,30,18.1,58,5.6,2,0,980100,2
"778536",2017-05-09,12,15,17.8,60,5.6,12,0,1025100,2
"777486",2017-04-28,13,45,15.8,46,5.6,233,0,918900,2
"777480",2017-04-28,12,15,15.4,47,5.6,232,0,998100,2
"777479",2017-04-28,12,0,15.3,49,5.6,241,0,999000,2
"777471",2017-04-28,10,0,14.6,58,5.6,228,0,830700,2
"776915",2017-04-22,15,0,17.6,53,5.6,215,0,664200,2
"776627",2017-04-19,15,0,13.9,21,5.6,3,0,345600,2
"777478",2017-04-28,11,45,15.3,51,5.4,234,0,990000,2
"776910",2017-04-22,13,45,17.3,54,5.4,210,0,614700,2
"779115",2017-05-15,13,0,24.2,45,5.3,1,0,994500,2
"776911",2017-04-22,14,0,17.4,55,5.3,209,0,589500,2
"779691",2017-05-21,13,0,25.2,30,5.2,359,0,997200,2
"779129",2017-05-15,16,30,24.4,44,5.2,20,0,504900,2
"777477",2017-04-28,11,30,15,55,5.2,236,0,922500,2
"779502",2017-05-19,13,45,22.8,55,5.1,278,0,510300,2
"779207",2017-05-16,12,0,24.1,43,5.1,10,0,850500,2
"778542",2017-05-09,13,45,18.4,56,5.1,7,0,946800,2
"778540",2017-05-09,13,15,18.1,59,5.1,18,0,986400,2
"777291",2017-04-26,13,0,19.2,59,5.1,177,0,227700,2
"776916",2017-04-22,15,15,17.7,54,5.1,225,0,774900,2
"776909",2017-04-22,13,30,17.8,53,5.1,214,0,838800,2
"777481",2017-04-28,12,30,15.7,46,5,241,0,986400,2
"777474",2017-04-28,10,45,14.5,58,5,234,0,682200,2
"777287",2017-04-26,12,0,19.2,60,5,184,0,233100,2
"776920",2017-04-22,16,15,16.9,56,5,219,0,531900,2
"782290",2017-06-17,14,45,32.8,33,4.9,358,0,818100,3
"782287",2017-06-17,14,0,32.6,33,4.9,2,0,913500,3
"779127",2017-05-15,16,0,24.7,44,4.9,6,0,682200,2
"777593",2017-04-29,16,30,17.7,41,4.9,5,0,475200,2
"777300",2017-04-26,15,15,19,62,4.9,173,0,54000,2
"777290",2017-04-26,12,45,19.1,60,4.9,188,0,210600,2
"776914",2017-04-22,14,45,17.8,54,4.9,217,0,785700,2
"776547",2017-04-18,19,0,9.5,62,4.9,8,0,4500,2
"776546",2017-04-18,18,45,9.4,64,4.9,1,0,11700,2
"782289",2017-06-17,14,30,32.5,34,4.8,7,0,742500,3
"782286",2017-06-17,13,45,32.7,34,4.8,3,0,936900,3
"779703",2017-05-21,16,0,25.5,30,4.8,13,0,634500,2
"777298",2017-04-26,14,45,19.2,61,4.8,178,0,88200,2
"776609",2017-04-19,10,30,12.9,26,4.8,12,0,837000,2
"782380",2017-06-18,13,15,28.2,27,4.7,24,0,1009800,3
"781419",2017-06-08,13,0,26.7,37,4.7,351,0,994500,3
"779500",2017-05-19,13,15,25.8,36,4.7,209,0,1017000,2
"776918",2017-04-22,15,45,17.4,55,4.7,229,0,616500,2
"776628",2017-04-19,15,15,13.8,23,4.7,1,0,319500,2
"776536",2017-04-18,16,15,8.4,80,4.7,24,0.2,36900,2
"782292",2017-06-17,15,15,32.5,32,4.6,14,0,747900,3
"782288",2017-06-17,14,15,32.5,34,4.6,14,0,882900,3
"782277",2017-06-17,11,30,31.4,42,4.6,355,0,951300,3
"781141",2017-06-05,15,30,24.8,63,4.6,213,0,60300,3
"779686",2017-05-21,11,45,24.4,31,4.6,9,0,984600,2
"779309",2017-05-17,13,30,26.6,36,4.6,14,0,971100,2
"777569",2017-04-29,10,30,16,47,4.6,4,0,867600,2
"777488",2017-04-28,14,15,15.4,49,4.6,264,0,861300,2
"777301",2017-04-26,15,30,18.7,63,4.6,175,0,26100,2
"776612",2017-04-19,11,15,13.4,24,4.6,12,0,798300,2
"782414",2017-06-18,21,45,23.4,35,4.5,10,0,900,3
"781422",2017-06-08,13,45,27.4,35,4.5,354,0,979200,3
"779690",2017-05-21,12,45,25,30,4.5,11,0,972900,2
"779503",2017-05-19,14,0,22.3,60,4.5,294,0,732600,2
"779126",2017-05-15,15,45,24.9,43,4.5,15,0,726300,2
"778543",2017-05-09,14,0,18.5,55,4.5,5,0,918900,2
"778472",2017-05-08,20,15,15.3,76,4.5,352,0.8,19800,2
"777591",2017-04-29,16,0,17.7,42,4.5,24,0,565200,2
"777470",2017-04-28,9,45,14.3,60,4.5,226,0,756900,2
"777295",2017-04-26,14,0,19.4,59,4.5,178,0,171000,2
"776919",2017-04-22,16,0,17.2,55,4.5,234,0,560700,2
"776913",2017-04-22,14,30,17.9,55,4.5,217,0,801900,2
"776631",2017-04-19,16,0,13.9,22,4.5,10,0,414000,2
"782280",2017-06-17,12,15,31.4,40,4.4,5,0,774900,3
"781423",2017-06-08,14,0,27.4,35,4.4,359,0,963900,3
"779310",2017-05-17,13,45,26.7,36,4.4,21,0,879300,2
"779210",2017-05-16,12,45,24.8,43,4.4,5,0,952200,2
"779134",2017-05-15,17,45,23.6,48,4.4,25,0,279000,2
"779133",2017-05-15,17,30,23.8,47,4.4,22,0,329400,2
"778538",2017-05-09,12,45,17.8,60,4.4,21,0,900900,2
"778537",2017-05-09,12,30,17.8,60,4.4,9,0,808200,2
"777475",2017-04-28,11,0,13.9,58,4.4,223,0,432900,2
"777469",2017-04-28,9,30,14,61,4.4,212,0,657900,2
"776917",2017-04-22,15,30,17.7,55,4.4,239,0,670500,2
"776624",2017-04-19,14,15,14,20,4.4,14,0,287100,2
"776611",2017-04-19,11,0,13.5,25,4.4,16,0,906300,2
"776550",2017-04-18,19,45,9.2,64,4.4,15,0,900,2
"776537",2017-04-18,16,30,8.5,77,4.4,30,0,30600,2
"782283",2017-06-17,13,0,32.5,35,4.3,3,0,984600,3
"781729",2017-06-11,18,30,30.4,33,4.3,30,0,198000,3
"781424",2017-06-08,14,15,27.4,34,4.3,346,0,936000,3
"781411",2017-06-08,11,0,24.8,42,4.3,5,0,960300,3
"779303",2017-05-17,12,0,26.2,36,4.3,29,0,984600,2
"779203",2017-05-16,11,0,23.9,44,4.3,54,0,997200,2
"779201",2017-05-16,10,30,23.6,45,4.3,47,0,960300,2
"779131",2017-05-15,17,0,24.3,45,4.3,13,0,441900,2
"779128",2017-05-15,16,15,24.6,44,4.3,20,0,612900,2
"777876",2017-05-02,15,15,18.9,41,4.3,248,0,752400,2
"777764",2017-05-01,11,15,19.4,39,4.3,155,0,690300,2
"776906",2017-04-22,12,45,18.3,51,4.3,224,0,990900,2
"776630",2017-04-19,15,45,13.9,23,4.3,9,0,416700,2
"782285",2017-06-17,13,30,32.5,35,4.2,2,0,942300,3
"782101",2017-06-15,15,30,28.6,52,4.2,360,0,81000,3
"781727",2017-06-11,18,0,30.8,32,4.2,44,0,259200,3
"781420",2017-06-08,13,15,27,37,4.2,353,0,1006200,3
"781245",2017-06-06,17,30,25.1,50,4.2,258,0,396900,3
"781142",2017-06-05,15,45,23.6,71,4.2,215,0,59400,3
"779218",2017-05-16,14,45,25.4,40,4.2,20,0,794700,2
"777872",2017-05-02,14,15,18.9,44,4.2,263,0,860400,2
"777299",2017-04-26,15,0,19.1,62,4.2,178,0,85500,2
"777296",2017-04-26,14,15,19.2,60,4.2,180,0,148500,2
"777284",2017-04-26,11,15,18.5,63,4.2,162,0,177300,2
"776921",2017-04-22,16,30,17.1,57,4.2,241,0,496800,2
"776629",2017-04-19,15,30,13.8,23,4.2,353,0,325800,2
"782279",2017-06-17,12,0,31.8,40,4.1,359,0,905400,3
"781728",2017-06-11,18,15,30.5,33,4.1,35,0,216000,3
"781427",2017-06-08,15,0,27.6,31,4.1,11,0,825300,3
"781426",2017-06-08,14,45,27.6,33,4.1,2,0,862200,3
"781425",2017-06-08,14,30,27.6,34,4.1,352,0,902700,3
"781418",2017-06-08,12,45,26.6,37,4.1,359,0,1006200,3
"781410",2017-06-08,10,45,24.7,43,4.1,2,0,938700,3
"781409",2017-06-08,10,30,24.4,43,4.1,7,0,922500,3
"779200",2017-05-16,10,15,23.3,46,4.1,31,0,891000,2
"779136",2017-05-15,18,15,23.1,49,4.1,21,0,167400,2
"779116",2017-05-15,13,15,24.1,46,4.1,18,0,984600,2
"779114",2017-05-15,12,45,24.4,44,4.1,6,0,1006200,2
"777588",2017-04-29,15,15,18,40,4.1,19,0,702900,2
"777568",2017-04-29,10,15,16,50,4.1,18,0,827100,2
"777491",2017-04-28,15,0,15.1,48,4.1,262,0,592200,2
"777285",2017-04-26,11,30,18.7,63,4.1,177,0,167400,2
"777283",2017-04-26,11,0,18.4,65,4.1,156,0,235800,2
"776926",2017-04-22,17,45,15.8,60,4.1,228,0,212400,2
"776548",2017-04-18,19,15,9.3,63,4.1,2,0,1800,2
"782586",2017-06-20,16,45,31.1,30,4,216,0,539100,3
"782392",2017-06-18,16,15,28.6,25,4,35,0,618300,3
"782369",2017-06-18,10,30,27.3,31,4,32,0,916200,3
"782102",2017-06-15,15,45,28.3,53,4,357,0,144900,3
"781417",2017-06-08,12,30,26.5,38,4,3,0,1008900,3
"779708",2017-05-21,17,15,25.2,32,4,3,0,378000,2
"779705",2017-05-21,16,30,25.5,31,4,1,0,528300,2
"779704",2017-05-21,16,15,25.5,30,4,17,0,580500,2
"779701",2017-05-21,15,30,25.6,30,4,15,0,721800,2
"779700",2017-05-21,15,15,25.5,30,4,24,0,760500,2
"779694",2017-05-21,13,45,25.2,30,4,21,0,952200,2
"779685",2017-05-21,11,30,24.4,31,4,3,0,1019700,2
"779124",2017-05-15,15,15,25.1,41,4,8,0,770400,2
"779118",2017-05-15,13,45,24.4,44,4,17,0,963900,2
"778535",2017-05-09,12,0,17.7,62,4,14,0,710100,2
"778530",2017-05-09,10,45,16.2,69,4,3,0,372600,2
"777869",2017-05-02,13,30,19.2,47,4,233,0,885600,2
"777766",2017-05-01,11,45,18.7,41,4,155,0,98100,2
"777608",2017-04-29,20,15,13.9,56,4,19,0,900,2
"777586",2017-04-29,14,45,18,38,4,359,0,765000,2
"777293",2017-04-26,13,30,19.3,59,4,191,0,307800,2
"776613",2017-04-19,11,30,13.8,23,4,16,0,962100,2
"776610",2017-04-19,10,45,13.2,25,4,15,0,870300,2
"776608",2017-04-19,10,15,13,27,4,20,0,801000,2
"776606",2017-04-19,9,45,12.4,28,4,19,0,732600,2
"776605",2017-04-19,9,30,12.2,29,4,18,0,697500,2
"782585",2017-06-20,16,30,31.7,29,3.9,221,0,589500,3
"782383",2017-06-18,14,0,28.7,26,3.9,60,0,951300,3
"782294",2017-06-17,15,45,32.9,32,3.9,4,0,670500,3
