"","data","hour","min","Tair","RH","wind","winddir","rain","SunJ","season"
"323659",2017-12-11,15,45,14.6,79,11.7,180,0,1,1
"300913",2017-04-18,16,15,7.9,79,11.6,9,0,820,2
"321053",2017-11-14,12,15,9.5,65,11.5,11,0,535,4
"300911",2017-04-18,15,45,9,71,11.5,9,0,110,2
"321094",2017-11-14,22,30,8.6,63,11.3,12,0,1,4
"323657",2017-12-11,15,15,14.5,79,11.2,183,0,1,1
"321095",2017-11-14,22,45,8.5,63,11.2,11,0,1,4
"321058",2017-11-14,13,30,9.8,64,11.2,20,0,546,4
"321055",2017-11-14,12,45,9.7,64,11.2,11,0,545,4
"300910",2017-04-18,15,30,9.7,66,11.2,8,0,106,2
"323639",2017-12-11,10,45,14.3,80,11.1,181,0,398,1
"323637",2017-12-11,10,15,14.2,81,11.1,184,0,1,1
"321108",2017-11-15,2,0,8.2,68,11.1,15,0,1,4
"321056",2017-11-14,13,0,9.5,64,11.1,14,0,266,4
"323636",2017-12-11,10,0,14.1,81,11,185,0,1,1
"323576",2017-12-10,19,0,10.2,92,11,183,0,1,1
"300908",2017-04-18,15,0,11.1,61,11,9,0,233,2
"323655",2017-12-11,14,45,14.6,79,10.9,180,0,1,1
"323654",2017-12-11,14,30,14.6,79,10.9,181,0,1,1
"323634",2017-12-11,9,30,14.1,82,10.9,190,0,1,1
"325874",2018-01-03,17,30,14.1,82,10.8,240,0,1,1
"323574",2017-12-10,18,30,10,91,10.8,182,0.2,1,1
"300912",2017-04-18,16,0,8.5,76,10.8,9,0,106,2
"321052",2017-11-14,12,0,9.6,66,10.7,15,0,545,4
"317338",2017-10-06,19,30,13.7,72,10.7,11,0,1,4
"323652",2017-12-11,14,0,14.6,80,10.6,185,0,1,1
"323575",2017-12-10,18,45,10.1,91,10.6,180,0,1,1
"321054",2017-11-14,12,30,9.6,65,10.6,13,0,530,4
"323635",2017-12-11,9,45,14.1,82,10.5,186,0,1,1
"321118",2017-11-15,4,30,8.3,65,10.5,12,0,1,4
"323698",2017-12-12,1,30,14.9,81,10.4,179,0,1,1
"323660",2017-12-11,16,0,14.5,80,10.4,182,0,1,1
"323640",2017-12-11,11,0,14.3,80,10.4,181,0,176,1
"323633",2017-12-11,9,15,14.3,81,10.4,186,0,1,1
"321110",2017-11-15,2,30,8,68,10.4,11,0,1,4
"321107",2017-11-15,1,45,8.1,68,10.4,16,0,1,4
"314999",2017-09-12,10,45,21.7,52,10.4,219,0,848,4
"323656",2017-12-11,15,0,14.5,79,10.3,183,0,1,1
"323650",2017-12-11,13,30,14.7,80,10.3,184,0,130,1
"321109",2017-11-15,2,15,8.1,68,10.3,13,0,1,4
"314998",2017-09-12,10,30,21.7,49,10.3,222,0,837,4
"300906",2017-04-18,14,30,13.7,56,10.3,11,0,717,2
"325873",2018-01-03,17,15,14.3,81,10.2,237,0,1,1
"323697",2017-12-12,1,15,15,80,10.2,181,0,1,1
"323658",2017-12-11,15,30,14.4,80,10.2,182,0,1,1
