"","data","hour","min","Tair","RH","wind","winddir","rain","SunJ","season"
"690936",2013-02-02,23,15,6.2,62,15.61,360,0,0,1
"763924",2015-03-05,6,15,7.4,47,14.58,360,0,0,2
"656661",2012-02-10,16,45,-1.5,57,13.94,360,0,24660,1
"656672",2012-02-10,19,30,-1.2,54,13.84,360,0,0,1
"763915",2015-03-05,4,0,5.7,68,13.83,360,0.4,0,2
"763925",2015-03-05,6,30,7.6,44,13.82,360,0.6,0,2
"690935",2013-02-02,23,0,6.3,63,13.79,360,0,0,1
"656674",2012-02-10,20,0,-1.3,56,13.51,360,0,0,1
"656668",2012-02-10,18,30,-1.4,55,13.47,360,0,0,1
"656669",2012-02-10,18,45,-1.3,54,13.09,360,0,0,1
"656667",2012-02-10,18,15,-1.5,55,13.06,360,0,0,1
"656673",2012-02-10,19,45,-1.3,56,12.93,360,0,0,1
"763926",2015-03-05,6,45,7.7,43,12.92,360,0.2,0,2
"763922",2015-03-05,5,45,6.8,56,12.83,360,0.2,0,2
"763920",2015-03-05,5,15,6.2,63,12.8,360,0,0,2
"656671",2012-02-10,19,15,-1.2,53,12.74,360,0,0,1
"690940",2013-02-03,0,15,5.8,64,12.68,360,0,0,1
"656677",2012-02-10,20,45,-1.2,55,12.61,360,0,0,1
"655757",2012-02-01,6,45,0.9,66,12.55,360,0,0,1
"655762",2012-02-01,8,0,0.7,64,12.54,360,0,2070,1
"656658",2012-02-10,16,0,-1.3,57,12.51,360,0,42750,1
"690934",2013-02-02,22,45,6.3,64,12.49,360,0,0,1
"656657",2012-02-10,15,45,-1.2,57,12.48,360,0,51300,1
"655756",2012-02-01,6,30,0.8,67,12.41,360,0,0,1
"656676",2012-02-10,20,30,-1.1,54,12.38,360,0,0,1
"447466",2006-02-20,2,45,8.4,96,12.37,86,0.2,0,1
"656659",2012-02-10,16,15,-1.4,59,12.35,360,0,33300,1
"655758",2012-02-01,7,0,0.9,65,12.27,360,0,0,1
"656670",2012-02-10,19,0,-1.3,53,12.13,360,0,0,1
"763927",2015-03-05,7,0,7.9,40,12.11,27,0,0,2
"656655",2012-02-10,15,15,-1,57,12.02,360,0,92610,1
"656678",2012-02-10,21,0,-1.2,54,11.96,360,0,0,1
"690937",2013-02-02,23,30,6.1,63,11.88,360,0,0,1
"656660",2012-02-10,16,30,-1.5,59,11.85,360,0,26910,1
"655759",2012-02-01,7,15,1,64,11.85,360,0,0,1
"763921",2015-03-05,5,30,6.7,57,11.81,360,0,0,2
"677272",2012-09-13,15,15,18.3,42,11.8,360,0,327060,4
"344965",2017-04-18,13,45,13,60,11.8,13,0,231300,2
"881602",2017-04-04,15,32,20.3,27,11.73,360,0,3192,2
"656662",2012-02-10,17,0,-1.6,58,11.72,360,0,18540,1
"690933",2013-02-02,22,30,6.3,64,11.7,360,0,0,1
"690944",2013-02-03,1,15,5.3,67,11.65,360,0,0,1
"655755",2012-02-01,6,15,0.8,67,11.64,360,0,0,1
"656666",2012-02-10,18,0,-1.5,55,11.61,360,0,0,1
"655760",2012-02-01,7,30,0.9,65,11.61,360,0,0,1
"763923",2015-03-05,6,0,7,53,11.59,360,0,0,2
"656675",2012-02-10,20,15,-1.1,54,11.59,360,0,0,1
"656074",2012-02-04,14,0,-1.2,48,11.53,360,0,257040,1
"656656",2012-02-10,15,30,-1.2,58,11.52,360,0,70110,1
"655754",2012-02-01,6,0,0.7,68,11.47,360,0,0,1
"656724",2012-02-11,8,30,-2,54,11.4,360,0,20790,1
"763917",2015-03-05,4,30,5.9,65,11.38,6,0.2,0,2
"811635",2016-07-15,4,45,19.1,49,11.37,360,0,450,3
"677263",2012-09-13,13,0,18.2,45,11.37,360,0,533340,4
"655764",2012-02-01,8,30,0.9,61,11.36,360,0,13770,1
"677266",2012-09-13,13,45,18.4,41,11.29,360,0,557370,4
"677267",2012-09-13,14,0,18.7,40,11.25,360,0,702450,4
"656744",2012-02-11,13,30,-0.2,46,11.2,360,0,371340,1
"763916",2015-03-05,4,15,5.7,68,11.18,360,0,0,2
"677270",2012-09-13,14,45,18.5,42,11.15,360,0,512460,4
"690938",2013-02-02,23,45,5.9,63,11.13,360,0,0,1
"763929",2015-03-05,7,30,8,39,11.1,46,0,17820,2
"656064",2012-02-04,11,30,-1.9,51,11.08,360,0,207900,1
"763931",2015-03-05,8,0,8.4,36,11.04,31,0.2,40680,2
"656664",2012-02-10,17,30,-1.5,56,11.04,360,0,5490,1
"656651",2012-02-10,14,15,-0.8,54,11.03,360,0,129240,1
"763914",2015-03-05,3,45,5.6,69,11.02,360,0.2,0,2
"763930",2015-03-05,7,45,8.2,36,11,30,0,30060,2
"883879",2017-04-18,14,45,10.2,59,10.99,360,0,37080,2
"690950",2013-02-03,2,45,5.3,66,10.98,360,0,0,1
"656663",2012-02-10,17,15,-1.6,58,10.96,360,0,11610,1
"690939",2013-02-03,0,0,5.9,64,10.94,360,0,0,1
"763911",2015-03-05,3,0,6.1,67,10.93,360,0.2,0,2
"677265",2012-09-13,13,30,18.4,43,10.92,360,0,581850,4
"656653",2012-02-10,14,45,-0.9,55,10.92,360,0,122310,1
"656648",2012-02-10,13,30,-0.7,54,10.82,360,0,167220,1
"656067",2012-02-04,12,15,-1.8,51,10.82,360,0,253080,1
"655927",2012-02-03,1,15,-1,63,10.81,360,0,0,1
"656665",2012-02-10,17,45,-1.5,55,10.8,360,0,90,1
"656652",2012-02-10,14,30,-0.8,55,10.72,360,0,111780,1
"682901",2012-11-11,6,30,17.8,72,10.7,124,0,0,4
"344991",2017-04-18,20,15,7.8,68,10.7,25,0,2700,2
"344964",2017-04-18,13,30,14.9,53,10.7,26,0,296100,2
"845393",2017-03-10,12,3,20.3,13,10.68,343,0,44070,2
"656679",2012-02-10,21,15,-1.3,55,10.68,360,0,0,1
"690943",2013-02-03,1,0,5.4,67,10.63,360,0,0,1
"763934",2015-03-05,8,45,8.4,36,10.62,59,0,65250,2
"763935",2015-03-05,9,0,8.5,35,10.6,48,0,106020,2
"763919",2015-03-05,5,0,6.1,64,10.58,360,0,0,2
"655765",2012-02-01,8,45,1,59,10.58,360,0,20520,1
"777239",2015-07-22,18,15,29.2,37,10.56,126,0,10350,3
"682902",2012-11-11,6,45,17.7,73,10.56,127,0,0,4
"656075",2012-02-04,14,15,-1.2,49,10.56,360,0,265320,1
"655928",2012-02-03,1,30,-1,63,10.56,360,0,0,1
"717967",2013-11-11,13,0,11.8,61,10.53,360,0,290790,4
"656062",2012-02-04,11,0,-1.9,52,10.53,360,0,158130,1
"656742",2012-02-11,13,0,-0.4,48,10.5,360,0,345690,1
"690942",2013-02-03,0,45,5.5,66,10.48,360,0,0,1
"656654",2012-02-10,15,0,-0.8,55,10.46,360,0,116010,1
"677271",2012-09-13,15,0,18.4,42,10.43,360,0,225540,4
"883882",2017-04-18,15,30,8.6,70,10.38,360,0.4,35280,2
"763918",2015-03-05,4,45,6.2,63,10.38,360,0,0,2
"763946",2015-03-05,11,45,9.4,29,10.34,360,0,275040,2
"814225",2016-08-11,4,15,18.9,57,10.32,360,0,0,3
"763940",2015-03-05,10,15,8.5,37,10.32,56,0,147420,2
"690959",2013-02-03,5,0,6.4,60,10.3,360,0,0,1
"656723",2012-02-11,8,15,-2,54,10.28,360,0,13680,1
